"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"COD1503606",6.651,0,6.651
"COD1503705",17.6049,0,17.6049
"COD1503754",57.1292,0,57.1292
"COD1503804",0,0,0
"COD1503903",0.0046,0,0.0046
"COD1504000",0,0,0
"COD1504059",0,0,0
"COD1504109",0,0,0
"COD1504208",1.4103,0,1.4103
"COD1504307",0,0,0
"COD1504406",0,0,0
"COD1504422",0,0,0
"COD1504455",3.6385,0,3.6385
"COD1504505",0,0,0
"COD1504604",0,0,0
"COD1504703",0.946,0,0.946
"COD1504752",0,0,0
"COD1504802",2.9578,0,2.9578
"COD1504901",0,0,0
"COD1504950",52.7178,0,52.7178
"COD1504976",0,0,0
"COD1505007",0,0,0
"COD1505031",0,0,0
"COD1505064",13.7927,0,13.7927
"COD1505106",46.9203,0,46.9203
"COD1505205",0,0,0
"COD1505304",46.1297,0,46.1297
"COD1505403",0,0,0
"COD1505437",84.6082,0,84.6082
"COD1505486",0.0158,0,0.0158
"COD1505494",0,0,0
"COD1505502",5.0808,0,5.0808
"COD1505536",38.4889,0,38.4889
"COD1505551",11.7675,0,11.7675
"COD1505601",0,0,0
"COD1505635",0,0,0
"COD1505650",17.8036,0,17.8036
"COD1505700",0,0,0
"COD1505809",0,0,0
"COD1505908",0,0,0
"COD1506005",0,0,0
"COD1506104",0,0,0
"COD1506112",0,0,0
"COD1506138",0.3704,0,0.3704
"COD1506161",0,0,0
"COD1506187",0.0499,0,0.0499
"COD1506195",0,0,0
"COD1506302",0,0,0
"COD1506351",0,0,0
"COD1506401",0,0,0
"COD1506500",0,0,0
"COD1506559",28.1207,0,28.1207
"COD1506583",0.1621,0,0.1621
"COD1506609",0,0,0
"COD1506708",0,0,0
"COD1506807",2.8964,0,2.8964
"COD1506906",0,0,0
"COD1507003",0,0,0
"COD1507102",0,0,0
"COD1507151",0.9253,0,0.9253
"COD1507201",0,0,0
"COD1507300",53.3595,0,53.3595
"COD1507409",0,0,0
"COD1507458",8.0715,0,8.0715
"COD1507466",0,0,0
"COD1507474",0,0,0
"COD1507508",0,0,0
"COD1507607",0,0,0
"COD1507706",0,0,0
"COD1507755",0,0,0
"COD1507805",70.3608,0,70.3608
"COD1507904",0,0,0
"COD1507953",0,0,0
"COD1507961",0,0,0
"COD1507979",0,0,0
"COD1508001",0.3531,0,0.3531
"COD1508035",0,0,0
"COD1508050",1.633,0,1.633
"COD1508084",0.0618,0,0.0618
"COD1508100",4.7816,0,4.7816
"COD1508126",0,0,0
"COD1508159",8.6219,0,8.6219
"COD1508209",0,0,0
"COD1508308",0.5127,0,0.5127
"COD1508357",3.2272,0,3.2272
"COD1508407",0,0,0
"COD1600055",0,0,0
"COD1600105",0,0,0
"COD1600154",24.9788,0,24.9788
